Conference,Division,Season,Team,Pct,Position
AFC,AFC East,2025,New England Patriots,0.82,1
AFC,AFC East,2025,Buffalo Bills,0.71,2
AFC,AFC East,2025,Miami Dolphins,0.41,3
AFC,AFC East,2025,New York Jets,0.18,4
AFC,AFC North,2025,Pittsburgh Steelers,0.59,1
AFC,AFC North,2025,Baltimore Ravens,0.47,2
AFC,AFC North,2025,Cincinnati Bengals,0.35,3
AFC,AFC North,2025,Cleveland Browns,0.29,4
AFC,AFC South,2025,Jacksonville Jaguars,0.77,1
AFC,AFC South,2025,Houston Texans,0.71,2
AFC,AFC South,2025,Indianapolis Colts,0.47,3
AFC,AFC South,2025,Tennessee Titans,0.18,4
AFC,AFC West,2025,Denver Broncos,0.82,1
AFC,AFC West,2025,Los Angeles Chargers,0.65,2
AFC,AFC West,2025,Kansas City Chiefs,0.35,3
AFC,AFC West,2025,Las Vegas Raiders,0.18,4
NFC,NFC East,2025,Philadelphia Eagles,0.647,1
NFC,NFC East,2025,Dallas Cowboys,0.441,2
NFC,NFC East,2025,Washington Commanders,0.294,3
NFC,NFC East,2025,New York Giants,0.235,4
NFC,NFC North,2025,Chicago Bears,0.65,1
NFC,NFC North,2025,Green Bay Packers,0.559,2
NFC,NFC North,2025,Minnesota Vikings,0.529,3
NFC,NFC North,2025,Detroit Lions,0.529,4
NFC,NFC South,2025,Carolina Panthers,0.471,1
NFC,NFC South,2025,Tampa Bay Buccaneers,0.471,2
NFC,NFC South,2025,Atlanta Falcons,0.471,3
NFC,NFC South,2025,New Orleans Saints,0.353,4
NFC,NFC West,2025,Seattle Seahawks,0.824,1
NFC,NFC West,2025,Los Angeles Rams,0.706,2
NFC,NFC West,2025,San Francisco 49ers,0.706,3
NFC,NFC West,2025,Arizona Cardinals,0.176,4
AFC,AFC East,2024,Buffalo Bills,0.765,1
AFC,AFC East,2024,Miami Dolphins,0.471,2
AFC,AFC East,2024,New York Jets,0.294,3
AFC,AFC East,2024,New England Patriots,0.235,4
AFC,AFC North,2024,Baltimore Ravens,0.706,1
AFC,AFC North,2024,Pittsburgh Steelers,0.588,2
AFC,AFC North,2024,Cincinnati Bengals,0.529,3
AFC,AFC North,2024,Cleveland Browns,0.176,4
AFC,AFC South,2024,Houston Texans,0.588,1
AFC,AFC South,2024,Indianapolis Colts,0.471,2
AFC,AFC South,2024,Jacksonville Jaguars,0.235,3
AFC,AFC South,2024,Tennessee Titans,0.176,4
AFC,AFC West,2024,Kansas City Chiefs,0.882,1
AFC,AFC West,2024,Los Angeles Chargers,0.647,2
AFC,AFC West,2024,Denver Broncos,0.588,3
AFC,AFC West,2024,Las Vegas Raiders,0.235,4
NFC,NFC East,2024,Philadelphia Eagles,0.824,1
NFC,NFC East,2024,Washington Commanders,0.706,2
NFC,NFC East,2024,Dallas Cowboys,0.412,3
NFC,NFC East,2024,New York Giants,0.176,4
NFC,NFC North,2024,Detroit Lions,0.882,1
NFC,NFC North,2024,Minnesota Vikings,0.824,2
NFC,NFC North,2024,Green Bay Packers,0.647,3
NFC,NFC North,2024,Chicago Bears,0.294,4
NFC,NFC South,2024,Tampa Bay Buccaneers,0.588,1
NFC,NFC South,2024,Atlanta Falcons,0.471,2
NFC,NFC South,2024,Carolina Panthers,0.294,3
NFC,NFC South,2024,New Orleans Saints,0.294,4
NFC,NFC West,2024,Los Angeles Rams,0.588,1
NFC,NFC West,2024,Seattle Seahawks,0.588,2
NFC,NFC West,2024,Arizona Cardinals,0.471,3
NFC,NFC West,2024,San Francisco 49ers,0.353,4
